title,subtitle,authors,categories,publisher,publication_year,isbn_10,isbn_13,language,page_count,edition,average_rating,ratings_count,copies,cover_image_path,description,source,source_identifier,source_url
Agile Software Development,"Principles, Patterns, and Practices",Robert C. Martin,Computer Science; Software Engineering; Agile,Prentice Hall,2002,0135974445,9780135974445,en,552,1st Edition,4.18,9000,1,https://covers.openlibrary.org/b/isbn/9780135974445-L.jpg,An exploration of agile principles and object-oriented design patterns through worked case studies.,Open Library,9780135974445,https://openlibrary.org/isbn/9780135974445
Test-Driven Development,By Example,Kent Beck,Computer Science; Software Engineering; Testing,Addison-Wesley,2002,0321146530,9780321146533,en,240,1st Edition,4.13,7000,2,https://covers.openlibrary.org/b/isbn/9780321146533-L.jpg,"A practical, example-driven introduction to writing tests before code.",Open Library,9780321146533,https://openlibrary.org/isbn/9780321146533
Programming Pearls,,Jon Bentley,Computer Science; Algorithms; Programming,Addison-Wesley,1999,0201657880,9780201657883,en,256,2nd Edition,4.31,7000,1,https://covers.openlibrary.org/b/isbn/9780201657883-L.jpg,Classic essays on practical techniques for solving programming problems efficiently.,Open Library,9780201657883,https://openlibrary.org/isbn/9780201657883
"The Art of Computer Programming, Volume 1",Fundamental Algorithms,Donald E. Knuth,Computer Science; Algorithms; Mathematics,Addison-Wesley,1997,0201896834,9780201896831,en,672,3rd Edition,4.44,7000,1,https://covers.openlibrary.org/b/isbn/9780201896831-L.jpg,"The first volume of Knuth's monumental, rigorous treatment of fundamental algorithms.",Open Library,9780201896831,https://openlibrary.org/isbn/9780201896831
Algorithms,,Robert Sedgewick; Kevin Wayne,Computer Science; Algorithms; Education,Addison-Wesley,2011,032157351X,9780321573513,en,976,4th Edition,4.31,4000,2,https://covers.openlibrary.org/b/isbn/9780321573513-L.jpg,"A comprehensive, practical introduction to algorithms and data structures with Java implementations.",Open Library,9780321573513,https://openlibrary.org/isbn/9780321573513
Discrete Mathematics and Its Applications,,Kenneth H. Rosen,Mathematics; Computer Science; Education,McGraw-Hill,2018,1259676874,9781259676512,en,1120,8th Edition,4.06,5000,2,https://covers.openlibrary.org/b/isbn/9781259676512-L.jpg,A comprehensive textbook covering the discrete mathematics foundations of computer science.,Open Library,9781259676512,https://openlibrary.org/isbn/9781259676512
Linear Algebra and Its Applications,,David C. Lay; Steven R. Lay; Judi J. McDonald,Mathematics; Education,Pearson,2015,0321982384,9780321982384,en,576,5th Edition,4.05,4000,2,https://covers.openlibrary.org/b/isbn/9780321982384-L.jpg,A widely used introductory textbook on linear algebra with real-world applications.,Open Library,9780321982384,https://openlibrary.org/isbn/9780321982384
Calculus,Early Transcendentals,James Stewart,Mathematics; Education,Cengage Learning,2015,1285741552,9781285741550,en,1368,8th Edition,4.05,5000,2,https://covers.openlibrary.org/b/isbn/9781285741550-L.jpg,"A comprehensive, widely adopted calculus textbook for undergraduate students.",Open Library,9781285741550,https://openlibrary.org/isbn/9781285741550
Introduction to Probability,,Dimitri P. Bertsekas; John N. Tsitsiklis,Mathematics; Statistics; Education,Athena Scientific,2008,188652923X,9781886529236,en,544,2nd Edition,4.4,2000,1,https://covers.openlibrary.org/b/isbn/9781886529236-L.jpg,A rigorous yet accessible introduction to probability theory and its applications.,Open Library,9781886529236,https://openlibrary.org/isbn/9781886529236
Statistics,,David Freedman; Robert Pisani; Roger Purves,Statistics; Mathematics; Education,W. W. Norton & Company,2007,0393929728,9780393929720,en,576,4th Edition,4.13,3000,1,https://covers.openlibrary.org/b/isbn/9780393929720-L.jpg,A widely respected introductory statistics textbook emphasizing conceptual understanding.,Open Library,9780393929720,https://openlibrary.org/isbn/9780393929720
A Brief History of Time,From the Big Bang to Black Holes,Stephen Hawking,Science; Physics; Popular Science,Bantam Books,1998,0553380168,9780553380163,en,212,Updated Edition,4.19,900000,3,https://covers.openlibrary.org/b/isbn/9780553380163-L.jpg,"A landmark popular science book explaining cosmology, black holes, and the nature of time for a general audience.",Open Library,9780553380163,https://openlibrary.org/isbn/9780553380163
Sapiens,A Brief History of Humankind,Yuval Noah Harari,History; Anthropology; Popular Science,Harper,2015,0062316095,9780062316097,en,443,1st Edition,4.37,1500000,3,https://covers.openlibrary.org/b/isbn/9780062316097-L.jpg,"A sweeping look at how Homo sapiens came to dominate the world, from the cognitive revolution to the present.",Open Library,9780062316097,https://openlibrary.org/isbn/9780062316097
Cosmos,,Carl Sagan,Science; Astronomy; Popular Science,Ballantine Books,2013,0345539435,9780345539434,en,384,Reissue Edition,4.34,150000,2,https://covers.openlibrary.org/b/isbn/9780345539434-L.jpg,"A classic exploration of the universe, science, and humanity's place within it.",Open Library,9780345539434,https://openlibrary.org/isbn/9780345539434
The Selfish Gene,,Richard Dawkins,Science; Biology; Popular Science,Oxford University Press,2016,0198788606,9780198788607,en,496,40th Anniversary Edition,4.14,150000,2,https://covers.openlibrary.org/b/isbn/9780198788607-L.jpg,An influential book presenting evolution from the perspective of the gene as the unit of natural selection.,Open Library,9780198788607,https://openlibrary.org/isbn/9780198788607
"Thinking, Fast and Slow",,Daniel Kahneman,Psychology; Behavioral Economics; Popular Science,"Farrar, Straus and Giroux",2011,0374275637,9780374275631,en,499,1st Edition,4.19,700000,3,https://covers.openlibrary.org/b/isbn/9780374275631-L.jpg,"An exploration of the two systems that drive human thought, and the biases that shape our decisions.",Open Library,9780374275631,https://openlibrary.org/isbn/9780374275631
Homo Deus,A Brief History of Tomorrow,Yuval Noah Harari,History; Futurism; Popular Science,Harper,2017,006246432X,9780062464316,en,449,1st Edition,4.21,400000,2,https://covers.openlibrary.org/b/isbn/9780062464316-L.jpg,"A look at the possible futures of humanity, exploring technology, consciousness, and the pursuit of immortality.",Open Library,9780062464316,https://openlibrary.org/isbn/9780062464316
"Guns, Germs, and Steel",The Fates of Human Societies,Jared Diamond,History; Anthropology; Popular Science,W. W. Norton & Company,1997,0393317552,9780393317558,en,480,1st Edition,4.03,350000,2,https://covers.openlibrary.org/b/isbn/9780393317558-L.jpg,"An examination of why some societies developed technology and power faster than others, rooted in geography and environment.",Open Library,9780393317558,https://openlibrary.org/isbn/9780393317558
The Innovators,"How a Group of Hackers, Geniuses, and Geeks Created the Digital Revolution",Walter Isaacson,History; Technology; Biography,Simon & Schuster,2014,1476708703,9781476708706,en,542,1st Edition,4.24,45000,2,https://covers.openlibrary.org/b/isbn/9781476708706-L.jpg,A history of the computer and internet revolution told through the innovators who built it.,Open Library,9781476708706,https://openlibrary.org/isbn/9781476708706
Steve Jobs,,Walter Isaacson,Biography; Technology; Business,Simon & Schuster,2011,1451648537,9781451648539,en,656,1st Edition,4.19,300000,2,https://covers.openlibrary.org/b/isbn/9781451648539-L.jpg,"The authorized biography of Apple co-founder Steve Jobs, based on extensive interviews.",Open Library,9781451648539,https://openlibrary.org/isbn/9781451648539
Elon Musk,,Walter Isaacson,Biography; Technology; Business,Simon & Schuster,2023,1982181281,9781982181284,en,688,1st Edition,4.15,150000,2,https://covers.openlibrary.org/b/isbn/9781982181284-L.jpg,"A biography of Elon Musk covering his companies, ambitions, and controversies, based on years of access.",Open Library,9781982181284,https://openlibrary.org/isbn/9781982181284
Atomic Habits,An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,Self-Help; Personal Development; Psychology,Avery,2018,0735211299,9780735211292,en,320,1st Edition,4.37,1200000,3,https://covers.openlibrary.org/b/isbn/9780735211292-L.jpg,"A practical framework for building good habits and breaking bad ones through small, incremental changes.",Open Library,9780735211292,https://openlibrary.org/isbn/9780735211292
Deep Work,Rules for Focused Success in a Distracted World,Cal Newport,Self-Help; Personal Development; Business,Grand Central Publishing,2016,1455586692,9781455586691,en,304,1st Edition,4.19,200000,2,https://covers.openlibrary.org/b/isbn/9781455586691-L.jpg,"An argument for the value of focused, undistracted work in an increasingly distracted world, with practical rules.",Open Library,9781455586691,https://openlibrary.org/isbn/9781455586691
The Lean Startup,How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,Business; Entrepreneurship; Technology,Crown Business,2011,0307887898,9780307887894,en,336,1st Edition,4.11,250000,2,https://covers.openlibrary.org/b/isbn/9780307887894-L.jpg,"A methodology for building startups through validated learning, rapid experimentation, and iterative product releases.",Open Library,9780307887894,https://openlibrary.org/isbn/9780307887894
Zero to One,"Notes on Startups, or How to Build the Future",Peter Thiel; Blake Masters,Business; Entrepreneurship; Technology,Crown Business,2014,0804139296,9780804139298,en,224,1st Edition,4.18,300000,2,https://covers.openlibrary.org/b/isbn/9780804139298-L.jpg,"A contrarian take on innovation and building companies that create new, monopolistic value.",Open Library,9780804139298,https://openlibrary.org/isbn/9780804139298
Good to Great,Why Some Companies Make the Leap... and Others Don't,Jim Collins,Business; Management; Leadership,HarperBusiness,2001,0066620996,9780066620992,en,320,1st Edition,4.12,180000,2,https://covers.openlibrary.org/b/isbn/9780066620992-L.jpg,A research-based study of what separates companies that achieve sustained great performance from those that don't.,Open Library,9780066620992,https://openlibrary.org/isbn/9780066620992
The 7 Habits of Highly Effective People,Powerful Lessons in Personal Change,Stephen R. Covey,Self-Help; Personal Development; Business,Free Press,2004,0743269519,9780743269513,en,381,15th Anniversary Edition,4.13,500000,3,https://covers.openlibrary.org/b/isbn/9780743269513-L.jpg,"A framework of seven habits for personal and professional effectiveness, grounded in principle-centered living.",Open Library,9780743269513,https://openlibrary.org/isbn/9780743269513
How to Win Friends and Influence People,,Dale Carnegie,Self-Help; Personal Development; Communication,Simon & Schuster,2009,0671027034,9780671027032,en,291,Revised Edition,4.2,700000,3,https://covers.openlibrary.org/b/isbn/9780671027032-L.jpg,A classic guide to building relationships and influencing others through empathy and communication.,Open Library,9780671027032,https://openlibrary.org/isbn/9780671027032
1984,,George Orwell,Fiction; Dystopian; Classic Literature,Signet Classics,1961,0451524934,9780451524935,en,328,Reissue Edition,4.19,4500000,3,https://covers.openlibrary.org/b/isbn/9780451524935-L.jpg,A dystopian novel depicting a totalitarian surveillance state and one man's struggle against it.,Open Library,9780451524935,https://openlibrary.org/isbn/9780451524935
Brave New World,,Aldous Huxley,Fiction; Dystopian; Classic Literature,Harper Perennial,2006,0060850523,9780060850524,en,311,Reissue Edition,4.0,1800000,2,https://covers.openlibrary.org/b/isbn/9780060850524-L.jpg,A dystopian vision of a future society engineered for stability through genetic engineering and conditioning.,Open Library,9780060850524,https://openlibrary.org/isbn/9780060850524
To Kill a Mockingbird,,Harper Lee,Fiction; Classic Literature; Drama,Harper Perennial,2006,0060935464,9780060935467,en,336,Reissue Edition,4.27,5000000,3,https://covers.openlibrary.org/b/isbn/9780060935467-L.jpg,"A novel exploring racial injustice and moral growth in a small Southern town, told through a child's eyes.",Open Library,9780060935467,https://openlibrary.org/isbn/9780060935467
Pride and Prejudice,,Jane Austen,Fiction; Classic Literature; Romance,Penguin Classics,2002,0141439513,9780141439518,en,435,Reprint Edition,4.28,3500000,2,https://covers.openlibrary.org/b/isbn/9780141439518-L.jpg,A classic novel of manners following Elizabeth Bennet as she navigates courtship and social expectation in Regency England.,Open Library,9780141439518,https://openlibrary.org/isbn/9780141439518
The Great Gatsby,,F. Scott Fitzgerald,Fiction; Classic Literature; Drama,Scribner,2004,0743273567,9780743273565,en,180,Reissue Edition,3.93,4500000,3,https://covers.openlibrary.org/b/isbn/9780743273565-L.jpg,"A novel of wealth, love, and disillusionment in Jazz Age America, narrated through the mysterious Jay Gatsby.",Open Library,9780743273565,https://openlibrary.org/isbn/9780743273565
Crime and Punishment,,Fyodor Dostoevsky,Fiction; Classic Literature; Philosophy,Vintage Classics,1993,0679734503,9780679734505,en,560,Reprint Edition,4.26,900000,2,https://covers.openlibrary.org/b/isbn/9780679734505-L.jpg,A psychological novel following a poor former student who commits murder and grapples with guilt and redemption.,Open Library,9780679734505,https://openlibrary.org/isbn/9780679734505
One Hundred Years of Solitude,,Gabriel Garcia Marquez,Fiction; Magical Realism; Classic Literature,Harper Perennial,2006,0060883286,9780060883287,en,417,Reissue Edition,4.11,900000,2,https://covers.openlibrary.org/b/isbn/9780060883287-L.jpg,"A multigenerational saga of the Buendia family in the fictional town of Macondo, blending myth and history.",Open Library,9780060883287,https://openlibrary.org/isbn/9780060883287
The Alchemist,,Paulo Coelho,Fiction; Philosophy; Adventure,HarperOne,2014,0062315005,9780062315007,en,208,25th Anniversary Edition,3.9,2500000,3,https://covers.openlibrary.org/b/isbn/9780062315007-L.jpg,An allegorical novel about a shepherd's journey to fulfill his personal legend.,Open Library,9780062315007,https://openlibrary.org/isbn/9780062315007
Harry Potter and the Sorcerer's Stone,,J.K. Rowling,Fiction; Fantasy; Young Adult,Scholastic,1998,0590353403,9780590353427,en,309,1st American Edition,4.47,9000000,3,https://covers.openlibrary.org/b/isbn/9780590353427-L.jpg,"The first novel in the Harry Potter series, introducing a young boy who discovers he is a wizard.",Open Library,9780590353427,https://openlibrary.org/isbn/9780590353427
The Hobbit,,J.R.R. Tolkien,Fiction; Fantasy; Adventure,Houghton Mifflin,1997,0395071760,9780395071229,en,310,Reissue Edition,4.28,3500000,3,https://covers.openlibrary.org/b/isbn/9780395071229-L.jpg,A fantasy adventure following Bilbo Baggins on an unexpected journey with dwarves and a dragon.,Open Library,9780395071229,https://openlibrary.org/isbn/9780395071229
Fahrenheit 451,,Ray Bradbury,Fiction; Dystopian; Classic Literature,Simon & Schuster,2012,1451673310,9781451673319,en,249,Reissue Edition,3.98,2200000,2,https://covers.openlibrary.org/b/isbn/9781451673319-L.jpg,"A dystopian novel about a fireman whose job is to burn books, set in a future that suppresses independent thought.",Open Library,9781451673319,https://openlibrary.org/isbn/9781451673319
Animal Farm,,George Orwell,Fiction; Satire; Classic Literature,Signet Classics,1996,0451526341,9780451526342,en,141,Reissue Edition,3.98,3500000,2,https://covers.openlibrary.org/b/isbn/9780451526342-L.jpg,An allegorical satire of totalitarianism told through a farm whose animals overthrow their human owner.,Open Library,9780451526342,https://openlibrary.org/isbn/9780451526342
The Catcher in the Rye,,J.D. Salinger,Fiction; Classic Literature; Coming-of-Age,"Little, Brown and Company",1991,0316769487,9780316769488,en,277,Reissue Edition,3.81,2900000,2,https://covers.openlibrary.org/b/isbn/9780316769488-L.jpg,A novel following disaffected teenager Holden Caulfield over a few days in New York City.,Open Library,9780316769488,https://openlibrary.org/isbn/9780316769488
Introduction to Machine Learning with Python,A Guide for Data Scientists,Andreas C. Muller; Sarah Guido,Computer Science; Machine Learning; Python,O'Reilly Media,2016,1449369413,9781449369415,en,392,1st Edition,4.13,3000,2,https://covers.openlibrary.org/b/isbn/9781449369415-L.jpg,A practical guide to building machine learning solutions in Python using scikit-learn.,Open Library,9781449369415,https://openlibrary.org/isbn/9781449369415
Neural Networks and Deep Learning,A Textbook,Charu C. Aggarwal,Computer Science; Machine Learning; Artificial Intelligence,Springer,2018,3319944622,9783319944623,en,512,2nd Edition,4.15,600,1,https://covers.openlibrary.org/b/isbn/9783319944623-L.jpg,A comprehensive textbook covering the theory and applications of neural networks and deep learning.,Open Library,9783319944623,https://openlibrary.org/isbn/9783319944623
Grokking Deep Learning,,Andrew W. Trask,Computer Science; Machine Learning; Artificial Intelligence,Manning Publications,2019,1617293709,9781617293702,en,336,1st Edition,4.38,2500,1,https://covers.openlibrary.org/b/isbn/9781617293702-L.jpg,"A hands-on, from-scratch introduction to the mechanics behind deep learning, building neural networks with basic Python.",Open Library,9781617293702,https://openlibrary.org/isbn/9781617293702
Programming Computer Vision with Python,Tools and Algorithms for Analyzing Images,Jan Erik Solem,Computer Science; Computer Vision; Python,O'Reilly Media,2012,1449316549,9781449316549,en,264,1st Edition,3.95,900,1,https://covers.openlibrary.org/b/isbn/9781449316549-L.jpg,A hands-on introduction to computer vision techniques and algorithms using Python.,Open Library,9781449316549,https://openlibrary.org/isbn/9781449316549
Learning OpenCV,Computer Vision with the OpenCV Library,Gary Bradski; Adrian Kaehler,Computer Science; Computer Vision; Programming,O'Reilly Media,2008,0596516134,9780596516130,en,580,1st Edition,4.03,1500,1,https://covers.openlibrary.org/b/isbn/9780596516130-L.jpg,A practical guide to computer vision programming using the open-source OpenCV library.,Open Library,9780596516130,https://openlibrary.org/isbn/9780596516130
Grokking Artificial Intelligence Algorithms,,Rishal Hurbans,Computer Science; Artificial Intelligence; Algorithms,Manning Publications,2020,1617295450,9781617295454,en,344,1st Edition,4.12,600,1,https://covers.openlibrary.org/b/isbn/9781617295454-L.jpg,"A visually driven, beginner-friendly introduction to classic AI algorithms and their applications.",Open Library,9781617295454,https://openlibrary.org/isbn/9781617295454
Mathematics for Machine Learning,,Marc Peter Deisenroth; A. Aldo Faisal; Cheng Soon Ong,Computer Science; Machine Learning; Mathematics,Cambridge University Press,2020,110845514X,9781108455145,en,398,1st Edition,4.42,1200,1,https://covers.openlibrary.org/b/isbn/9781108455145-L.jpg,"An accessible introduction to the mathematical foundations - linear algebra, calculus, and probability - needed for machine learning.",Open Library,9781108455145,https://openlibrary.org/isbn/9781108455145
Building Machine Learning Powered Applications,Going from Idea to Product,Emmanuel Ameisen,Computer Science; Machine Learning; Software Engineering,O'Reilly Media,2020,149204511X,9781492045113,en,250,1st Edition,4.15,800,1,https://covers.openlibrary.org/b/isbn/9781492045113-L.jpg,"A practical guide to designing, building, and deploying real-world machine learning products.",Open Library,9781492045113,https://openlibrary.org/isbn/9781492045113
Practical Deep Learning for Coders,With fastai and PyTorch,Jeremy Howard; Sylvain Gugger,Computer Science; Machine Learning; Artificial Intelligence,O'Reilly Media,2020,1492045527,9781492045526,en,624,1st Edition,4.5,1500,2,https://covers.openlibrary.org/b/isbn/9781492045526-L.jpg,"A practical, code-first introduction to deep learning using the fastai library and PyTorch.",Open Library,9781492045526,https://openlibrary.org/isbn/9781492045526
Approaching (Almost) Any Machine Learning Problem,,Abhishek Thakur,Computer Science; Machine Learning; Data Science,Independently Published,2020,8269211508,9788269211508,en,300,1st Edition,4.5,900,1,https://covers.openlibrary.org/b/isbn/9788269211508-L.jpg,A practical playbook for tackling machine learning competitions and real-world modeling problems.,Open Library,9788269211508,https://openlibrary.org/isbn/9788269211508
Weapons of Math Destruction,How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,Computer Science; Data Science; Society,Crown,2016,0553418815,9780553418811,en,259,1st Edition,4.21,45000,2,https://covers.openlibrary.org/b/isbn/9780553418811-L.jpg,An examination of how opaque algorithms can reinforce inequality and cause societal harm.,Open Library,9780553418811,https://openlibrary.org/isbn/9780553418811
The Master Algorithm,How the Quest for the Ultimate Learning Machine Will Remake Our World,Pedro Domingos,Computer Science; Machine Learning; Artificial Intelligence,Basic Books,2015,0465065708,9780465065707,en,352,1st Edition,3.98,10000,1,https://covers.openlibrary.org/b/isbn/9780465065707-L.jpg,"A tour of the five major schools of machine learning and the quest for a single, universal learning algorithm.",Open Library,9780465065707,https://openlibrary.org/isbn/9780465065707
Life 3.0,Being Human in the Age of Artificial Intelligence,Max Tegmark,Science; Artificial Intelligence; Philosophy,Knopf,2017,1101946598,9781101946596,en,384,1st Edition,4.29,40000,2,https://covers.openlibrary.org/b/isbn/9781101946596-L.jpg,"An exploration of how advanced artificial intelligence could reshape society, work, and the future of life itself.",Open Library,9781101946596,https://openlibrary.org/isbn/9781101946596
Superintelligence,"Paths, Dangers, Strategies",Nick Bostrom,Science; Artificial Intelligence; Philosophy,Oxford University Press,2014,0199678111,9780199678112,en,352,1st Edition,3.96,60000,2,https://covers.openlibrary.org/b/isbn/9780199678112-L.jpg,An analysis of the risks and strategic considerations posed by the possible emergence of superintelligent AI.,Open Library,9780199678112,https://openlibrary.org/isbn/9780199678112
Prediction Machines,The Simple Economics of Artificial Intelligence,Ajay Agrawal; Joshua Gans; Avi Goldfarb,Business; Artificial Intelligence; Economics,Harvard Business Review Press,2018,1633695670,9781633695672,en,272,1st Edition,4.02,8000,1,https://covers.openlibrary.org/b/isbn/9781633695672-L.jpg,"An economic framework for understanding how AI, as a prediction technology, will transform business strategy.",Open Library,9781633695672,https://openlibrary.org/isbn/9781633695672
Competitive Programming 4,,Steven Halim; Felix Halim,Computer Science; Algorithms; Competitive Programming,Lulu.com,2020,9814845651,9789814845651,en,614,4th Edition,4.5,600,1,https://covers.openlibrary.org/b/isbn/9789814845651-L.jpg,A comprehensive guide to algorithmic problem-solving techniques for competitive programming contests.,Open Library,9789814845651,https://openlibrary.org/isbn/9789814845651
The Algorithm Design Manual,,Steven S. Skiena,Computer Science; Algorithms; Programming,Springer,2020,3030542556,9783030542559,en,797,3rd Edition,4.35,3000,2,https://covers.openlibrary.org/b/isbn/9783030542559-L.jpg,"A practical, war-story-driven guide to designing algorithms and choosing the right technique for real problems.",Open Library,9783030542559,https://openlibrary.org/isbn/9783030542559
Elements of Programming Interviews in Python,The Insiders' Guide,Adnan Aziz; Tsung-Hsien Lee; Amit Prakash,Computer Science; Programming; Career,CreateSpace,2016,1479274836,9781479274833,en,545,1st Edition,4.28,2000,1,https://covers.openlibrary.org/b/isbn/9781479274833-L.jpg,A collection of programming interview problems with detailed Python solutions and problem-solving strategies.,Open Library,9781479274833,https://openlibrary.org/isbn/9781479274833
System Design Interview,An Insider's Guide,Alex Xu,Computer Science; Software Engineering; Career,Independently Published,2020,1736049119,9781736049112,en,280,Volume 1,4.49,10000,2,https://covers.openlibrary.org/b/isbn/9781736049112-L.jpg,"A guide to approaching system design interviews, covering scalability patterns and case studies of real systems.",Open Library,9781736049112,https://openlibrary.org/isbn/9781736049112
Networking All-in-One For Dummies,,Doug Lowe,Computer Science; Networking; Education,For Dummies,2018,1119471632,9781119471639,en,912,7th Edition,3.9,500,1,https://covers.openlibrary.org/b/isbn/9781119471639-L.jpg,"A broad, beginner-friendly reference covering networking fundamentals, hardware, and administration.",Open Library,9781119471639,https://openlibrary.org/isbn/9781119471639
The Innovator's Dilemma,When New Technologies Cause Great Firms to Fail,Clayton M. Christensen,Business; Technology; Management,Harvard Business Review Press,1997,0875845851,9780875845852,en,286,1st Edition,4.11,60000,1,https://covers.openlibrary.org/b/isbn/9780875845852-L.jpg,"An analysis of why successful companies fail to adapt to disruptive innovation, and how to manage around it.",Open Library,9780875845852,https://openlibrary.org/isbn/9780875845852
Man's Search for Meaning,,Viktor E. Frankl,Psychology; Memoir; Philosophy,Beacon Press,2006,080701429X,9780807014295,en,165,Reprint Edition,4.37,700000,2,https://covers.openlibrary.org/b/isbn/9780807014295-L.jpg,A psychiatrist's memoir of survival in Nazi concentration camps and his theory of finding meaning through suffering.,Open Library,9780807014295,https://openlibrary.org/isbn/9780807014295
Educated,A Memoir,Tara Westover,Memoir; Biography; Education,Random House,2018,0399590501,9780399590504,en,334,1st Edition,4.47,900000,2,https://covers.openlibrary.org/b/isbn/9780399590504-L.jpg,A memoir of growing up in a survivalist family in rural Idaho and the author's journey to formal education.,Open Library,9780399590504,https://openlibrary.org/isbn/9780399590504
The Innovators Behind Leonardo,,Plinio Innocenzi,History; Science; Biography,Springer,2019,3030018400,9783030018405,en,250,1st Edition,4.0,50,1,https://covers.openlibrary.org/b/isbn/9783030018405-L.jpg,An exploration of the scientific and technical context behind Leonardo da Vinci's inventions and studies.,Open Library,9783030018405,https://openlibrary.org/isbn/9783030018405
Where the Crawdads Sing,,Delia Owens,Fiction; Mystery; Drama,G.P. Putnam's Sons,2018,0735219095,9780735219090,en,384,1st Edition,4.36,2000000,2,https://covers.openlibrary.org/b/isbn/9780735219090-L.jpg,"A novel blending coming-of-age drama and murder mystery, set in the marshes of North Carolina.",Open Library,9780735219090,https://openlibrary.org/isbn/9780735219090
